Timestamp [ms],Filename,Frame,X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees]
20691.0,snapshot_154.png,2039295,-2440.41,-891.9,173.32,-142.579,0.0430563,0.96725
20823.3,snapshot_155.png,2039305,-2423.27,-914.162,173.128,-142.309,0.113499,0.737135
20959.7,snapshot_156.png,2039325,-2392.78,-954.973,170.176,-142.088,-0.135011,0.346585
21089.4,snapshot_157.png,2039336,-2390.81,-957.16,170.256,-142.076,-0.710218,0.875477
21222.6,snapshot_158.png,2039346,-2391.0,-956.967,170.243,-142.076,-0.685326,0.856626
21360.600000000002,snapshot_159.png,2039366,-2384.54,-960.052,170.566,-127.571,-0.681814,0.977053
21489.3,snapshot_160.png,2039377,-2381.22,-961.525,170.612,-119.32,-1.23702,0.825542
21625.800000000003,snapshot_161.png,2039387,-2380.75,-962.016,170.581,-118.766,-1.2144,0.796531
21761.1,snapshot_162.png,2039407,-2363.18,-971.703,170.425,-118.618,-1.08704,0.749667
21891.8,snapshot_163.png,2039418,-2339.92,-983.988,170.113,-118.358,-1.26252,0.773704
22026.7,snapshot_164.png,2039428,-2317.27,-996.565,169.499,-118.056,-0.778991,0.595951
22158.6,snapshot_165.png,2039438,-2293.91,-1009.05,168.884,-117.9,-0.836991,0.529947
22289.6,snapshot_166.png,2039459,-2244.57,-1035.33,168.371,-117.77,-0.753131,0.586854
22428.0,snapshot_167.png,2039469,-2221.01,-1047.77,167.996,-117.709,-0.746345,0.575027
22559.6,snapshot_168.png,2039479,-2197.33,-1060.32,167.533,-117.573,-0.654075,0.589917
22690.2,snapshot_169.png,2039499,-2148.71,-1084.76,166.618,-115.149,-0.601908,0.625855
22829.2,snapshot_170.png,2039510,-2121.18,-1096.52,166.283,-108.051,-0.497669,0.533006
22958.7,snapshot_171.png,2039529,-2072.04,-1110.78,165.308,-98.7462,-5.98566,0.496761
23095.4,snapshot_172.png,2039543,-2034.7,-1116.44,164.457,-98.3535,-5.98908,0.564293
23225.2,snapshot_173.png,2039555,-2003.88,-1121.09,163.757,-98.1818,-5.92018,0.428398
23356.3,snapshot_174.png,2039569,-1966.86,-1126.27,162.984,-98.0811,-5.94536,0.598902
23499.7,snapshot_175.png,2039583,-1930.15,-1131.71,162.178,-97.7903,-5.8537,0.427909
23627.7,snapshot_176.png,2039596,-1895.09,-1135.76,161.873,-97.1743,-0.678505,0.257546
23758.8,snapshot_177.png,2039609,-1860.87,-1140.5,161.108,-97.0067,-0.230607,0.315888
23892.800000000003,snapshot_178.png,2039622,-1826.84,-1144.92,160.508,-96.8497,0.252754,0.23638
24029.3,snapshot_179.png,2039636,-1789.6,-1149.73,159.799,-96.7911,-0.305419,0.339853
24159.0,snapshot_180.png,2039649,-1755.1,-1154.08,159.059,-96.4386,-0.170901,0.438343
24295.7,snapshot_181.png,2039663,-1718.28,-1158.24,158.71,-96.2959,0.153045,0.341274
24427.399999999998,snapshot_182.png,2039676,-1684.89,-1162.53,157.922,-96.3012,-0.247442,0.395611
24564.9,snapshot_183.png,2039689,-1649.79,-1164.98,157.007,-91.1729,-0.237204,0.2067
24695.1,snapshot_184.png,2039703,-1613.16,-1166.43,156.725,-85.6826,-0.869434,0.014031
24827.2,snapshot_185.png,2039716,-1579.24,-1164.2,156.099,-85.2055,0.00614583,0.200199
24961.4,snapshot_186.png,2039725,-1554.13,-1162.06,155.757,-84.9206,-0.883674,0.24047
25092.8,snapshot_187.png,2039735,-1528.11,-1160.51,154.939,-84.8476,-0.221738,0.329204
25226.199999999997,snapshot_188.png,2039745,-1501.32,-1158.48,154.465,-84.7626,-0.231134,0.359972
25366.3,snapshot_189.png,2039766,-1446.63,-1153.9,153.569,-84.6715,0.0817108,0.229665
25496.5,snapshot_190.png,2039776,-1420.61,-1151.69,153.021,-84.5518,0.0559416,0.283188
25632.7,snapshot_191.png,2039786,-1393.95,-1149.72,152.382,-84.3293,-0.17403,0.366033
25764.9,snapshot_192.png,2039807,-1338.04,-1144.9,151.635,-84.1015,-0.256792,0.380738
25895.3,snapshot_193.png,2039817,-1311.75,-1142.81,151.175,-83.8959,-0.239263,0.186775
26029.2,snapshot_194.png,2039836,-1262.78,-1137.81,150.412,-83.2678,-0.183933,0.0626993
26158.2,snapshot_195.png,2039849,-1229.45,-1132.72,149.812,-74.5202,0.425332,-0.040849
26292.899999999998,snapshot_196.png,2039862,-1195.11,-1124.49,149.108,-72.7274,0.371826,-0.110921
26432.9,snapshot_197.png,2039876,-1159.86,-1113.9,148.271,-72.4079,0.195486,-0.325353
26563.5,snapshot_198.png,2039889,-1127.03,-1104.24,147.399,-72.2704,0.52412,-0.000584329
26696.4,snapshot_199.png,2039903,-1091.68,-1092.91,147.165,-72.0935,-0.179786,-0.448853
26828.7,snapshot_200.png,2039916,-1058.81,-1082.6,146.651,-71.9375,0.433005,-0.0251851
26963.0,snapshot_201.png,2039929,-1027.36,-1073.44,146.071,-76.6809,0.384456,0.0108134
27097.0,snapshot_202.png,2039943,-997.493,-1070.01,146.892,-96.2794,-0.443718,-0.109077
27229.600000000002,snapshot_203.png,2039956,-964.417,-1074.31,146.341,-100.429,-0.467261,-0.0243595
27360.600000000002,snapshot_204.png,2039969,-932.166,-1080.98,145.708,-100.811,-0.42792,-0.101552
27499.0,snapshot_205.png,2039983,-894.769,-1087.59,145.252,-91.5462,-0.399611,-0.199317
27632.5,snapshot_206.png,2039996,-859.202,-1089.69,144.427,-88.3205,-0.757901,-0.172472
27767.399999999998,snapshot_207.png,2040010,-821.776,-1089.12,143.602,-87.9243,-0.671447,-0.0631856
27897.4,snapshot_208.png,2040022,-788.923,-1086.37,142.589,-80.9437,-0.134643,-0.0898394
28033.899999999998,snapshot_209.png,2040032,-761.188,-1080.62,142.313,-77.7815,-0.266701,-0.382927
28161.899999999998,snapshot_210.png,2040042,-735.136,-1074.99,141.588,-77.1835,0.11427,-0.2583
28299.600000000002,snapshot_211.png,2040052,-709.624,-1070.51,140.097,-77.5978,0.402611,0.256585
28431.0,snapshot_212.png,2040073,-654.93,-1058.96,139.175,-77.333,0.259128,0.373648
28569.1,snapshot_213.png,2040083,-628.675,-1053.33,138.641,-77.1088,0.373794,0.386819
28699.6,snapshot_214.png,2040093,-602.841,-1048.33,137.792,-77.2227,0.379391,0.536185
28831.3,snapshot_215.png,2040114,-548.344,-1035.94,136.921,-76.699,0.288779,0.49568
28965.0,snapshot_216.png,2040124,-521.925,-1029.8,136.408,-76.5309,-0.0750048,0.078644
29097.0,snapshot_217.png,2040134,-496.453,-1024.19,135.66,-76.4207,0.735403,0.7918
29230.2,snapshot_218.png,2040155,-441.609,-1011.8,134.432,-76.2474,0.371187,0.564608
29367.2,snapshot_219.png,2040165,-415.636,-1005.83,133.947,-76.0706,0.4601,0.539112
29498.0,snapshot_220.png,2040175,-389.386,-999.414,133.471,-75.9349,0.156723,0.630226
29629.899999999998,snapshot_221.png,2040186,-360.932,-992.625,132.659,-75.7025,0.232634,0.481078
29766.7,snapshot_222.png,2040206,-309.463,-980.213,131.521,-75.5939,0.461326,0.584175
29899.2,snapshot_223.png,2040216,-283.311,-973.622,131.646,-75.2781,0.231254,0.1052
30034.600000000002,snapshot_224.png,2040227,-254.704,-967.047,130.521,-75.3144,0.482109,0.678339
30164.4,snapshot_225.png,2040247,-203.481,-953.848,129.324,-75.035,0.418371,0.527494
30296.7,snapshot_226.png,2040257,-177.37,-947.437,129.01,-75.0159,0.426082,0.275004
30439.0,snapshot_227.png,2040267,-151.285,-940.243,128.734,-74.7916,0.400759,-0.11839
30567.1,snapshot_228.png,2040288,-97.3881,-926.434,127.494,-74.6502,0.419676,0.537345
30696.5,snapshot_229.png,2040298,-71.5049,-919.835,127.065,-74.3747,0.182003,0.218877
30839.0,snapshot_230.png,2040308,-45.3956,-912.521,126.777,-74.0248,0.335252,0.212395
30966.7,snapshot_231.png,2040330,10.6184,-897.361,125.327,-74.0475,0.594955,0.376232
31103.4,snapshot_232.png,2040343,44.5851,-887.598,125.267,-73.5548,0.285091,0.0799738
31235.0,snapshot_233.png,2040357,80.0276,-876.402,124.803,-72.7219,0.619473,0.27758
31364.6,snapshot_234.png,2040369,110.943,-868.094,124.881,-72.5214,0.937997,-0.124349
31502.9,snapshot_235.png,2040383,146.723,-859.318,120.946,-73.472,-0.238501,1.94308
31634.399999999998,snapshot_236.png,2040397,182.249,-847.318,121.364,-72.0903,-0.143846,0.815246
31767.7,snapshot_237.png,2040410,215.346,-837.671,121.046,-72.1067,-0.157011,0.850572
31904.699999999997,snapshot_238.png,2040423,247.696,-827.119,120.864,-71.4053,0.152707,0.7386
32033.299999999996,snapshot_239.png,2040431,268.369,-821.07,120.641,-71.4436,0.276057,0.701584
32166.699999999997,snapshot_240.png,2040442,296.187,-812.702,120.028,-71.2823,0.110526,0.644924
32300.800000000003,snapshot_241.png,2040462,346.916,-797.398,119.134,-70.9752,0.120462,0.481773
32435.000000000004,snapshot_242.png,2040472,372.238,-789.794,118.621,-70.9102,0.267715,0.443082
32570.7,snapshot_243.png,2040483,400.651,-781.66,118.289,-71.0644,0.346568,0.411025
32703.3,snapshot_244.png,2040493,425.625,-773.759,117.989,-71.0014,0.312897,0.378873
32836.399999999994,snapshot_245.png,2040513,476.476,-758.15,117.316,-70.7607,0.412795,0.228617
32975.9,snapshot_246.png,2040531,521.776,-743.549,116.389,-70.3961,0.242322,0.240557
33101.5,snapshot_247.png,2040543,552.577,-734.014,115.761,-70.2313,0.442308,0.170441
33234.4,snapshot_248.png,2040556,585.665,-723.158,115.517,-70.4044,0.339058,0.215344
33371.200000000004,snapshot_249.png,2040570,612.431,-716.594,115.344,-88.8386,-0.550351,-0.0593789
33502.8,snapshot_250.png,2040583,642.302,-715.988,114.465,-94.4942,-0.035492,-0.00910914
